Review,Rating
"The main attractions were shut while we still paid the full entrance fees, without any intimation either online or as the ticket kiosks",1
"Visited Disneyland Hong Kong today March 15, 2019. Poor experience. Very little there in the first place in terms of rides and other experiences. But most of it was closed for renovations (including the main Disney castle) or lots of stuff just not open anyway. Kids coulddon't get pics with their fav characters as they kept disappearing for a break every 20 mins and queues were long already. All this missing and not even a reduction in the already expensive price. Pretty crappy day outSmall park, half open. Not worth the money.",1
"Every year I come to Disney with my children, every year is worse than the last one!!!!Prices for entrance tickets are outrageous, specially taking in account that the rides are minimal...Food prices are not normal, even for Disney, super hyper expensive, horrible food, even the junk food is tasteless!!!Only good thing about this place is leaving it!!!!",1
"I'm writing an honest and truthful opinion of this park. I'm not paid by anybody to discredit Disney. If you in HK, do not go to this rip off expensive overpriced park, which is not even worth HK$10 let alone paying over HK$400. There's no attraction, the rides are garbage, no decent food court and the price of the food is three to four time the price. this theme park is just as big as the Victoria Park in HK.Those who are commenting about how wonderful the time they had must have been paid by Disney or high with something. I would rather go to Ocean park which is much bigger and more things to see and do.Just to get to Disneyland you are paying US$ 15 20.",1
"Visited from Australia. Enjoyed the rides, parades and shows. Disappointed the toy train ride was closed. Knew the castle would be under renovation. The biggest let down was that as we were leaving, we decided to pop by the gift shop to buy a Mickey and Mini Mouse plush toy (in the Chinese outfits) which was under the sign that said 2 for HKD298. When we went to pay, the girl behind the counter said it was HKD168 each. We took her colleague to show her the offer sign and she said it didn   t apply for Mickey and Mini, but that it was for other plush toys (Duffy and friends toys only). The girl was very condescending and made us feel unpleasant. So we accepted and bought it for HKD336. When we left to Hong Kong airport 2 days later, at the Disney store in the airport (we didn   t know there would be one there) we saw the same deal: 2 plush for HKD298 and we asked if it applied to the same Mickey and Mini mouse, and lo and behold the girl at that store said it did! that is, 2 for HKD298!! So how is it that at Disneyland park the store did not honour the offer when the other store did? We were very disappointed that the staff were very rude when we tried to enquire about the offer that was rightly given to everyone at the airport store, but did not give us this offer when it was clearly stated on the stand in the main Disneyland?!? This made what would have been a great day at Disneyland very unpleasant. We have discouraged our family & friends to visit Hong Kong Disneyland due to this unpleasant experience. Disney, we would like you to be more honest in your promotions and to honour what is stated in your pricing. ",1
"Full of Mainland tourists, spitting and pushing and shoving. IS NOT THE HAPPIEST PLACE ON EARTH!!! Expensive!!",1
"Dumb to go.America Street is a boring place because the prices aidon't cheap and much can be bought elsewhere.The other zones are horrible,with too much people and staff not doing much for the adventure.Very unhappy during the whole trip.",1
Having visited Disneyland Paris some 25 years ago we decided to spend the last day of our holiday at Disneyland Hong Kong. The rides were outdated and given HK love of all things electronic we expected more. There was a greater variety of rides in Paris. The parades started late   so we missed the last few minutes of the evening parade as we had a coach pick up to meet. The parades were not a patch on Paris some 25 years agoThe majority of the staff were rude and unhelpful   unlike the Paris staff. Given that English is widely spoken in HK a lot of the staff barely understood English. Putting it mildly it was an utter disappointment from start to finish.,1
Extremely average rides. Please save your money and go to Universal Studios in Singapore! They don   t get anywhere close to creating the magical experiences they promise to! The park was too crowded with sections shut down for renovations. After paying for an entry it seemed like you are eternally in a queue for rides or exhibits that were extremely disappointing!,1
"Its not the fault of Disney that such a bad typhoon storm hit and closed and disrupted operations. It is their fault and responsibility in how they handle the ensuing customer issues.When we explained to Mr.Dominic Chanat the Hong Kong Disneyland Reservation Center that we travelled far with our kids, paid for plane tickets, paid hotel, etc and bought silver passes to the park and had limited time he didnt seem to care. The park was closed during our stay for one day and many things in the park were not running or closed. All we asked was to be able to use our passes on Saturday to make up for the closed day and the other problems as we leave Sunday.He gave us the magical template answer with a NO, passes cant be used on Saturday with no consideration. Greed before customer concern is how they responded to the aftermath of the storm.The park is currently in disarray and best to avoid until they get the place fixed up and can ensure us that all the attractions have been inspected for safety due to storm damage that may compromise safety.",1
